Pathway_ID	Pathway_Name
05215	Prostate cancer [PATH:ko05215]
05216	Thyroid cancer [PATH:ko05216]
05217	Basal cell carcinoma [PATH:ko05217]
05218	Melanoma [PATH:ko05218]
05219	Bladder cancer [PATH:ko05219]
05220	Chronic myeloid leukemia [PATH:ko05220]
05221	Acute myeloid leukemia [PATH:ko05221]
05222	Small cell lung cancer [PATH:ko05222]
05223	Non-small cell lung cancer [PATH:ko05223]
05224	Breast cancer [PATH:ko05224]
05225	Hepatocellular carcinoma [PATH:ko05225]
05226	Gastric cancer [PATH:ko05226]
05230	Central carbon metabolism in cancer [PATH:ko05230]
05231	Choline metabolism in cancer [PATH:ko05231]
05235	PD-L1 expression and PD-1 checkpoint pathway in cancer [PATH:ko05235]
05310	Asthma [PATH:ko05310]
05320	Autoimmune thyroid disease [PATH:ko05320]
05321	Inflammatory bowel disease [PATH:ko05321]
05322	Systemic lupus erythematosus [PATH:ko05322]
05323	Rheumatoid arthritis [PATH:ko05323]
05330	Allograft rejection [PATH:ko05330]
05332	Graft-versus-host disease [PATH:ko05332]
05340	Primary immunodeficiency [PATH:ko05340]
05410	Hypertrophic cardiomyopathy [PATH:ko05410]
05412	Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412]
05414	Dilated cardiomyopathy [PATH:ko05414]
05415	Diabetic cardiomyopathy [PATH:ko05415]
05416	Viral myocarditis [PATH:ko05416]
05417	Lipid and atherosclerosis [PATH:ko05417]
05418	Fluid shear stress and atherosclerosis [PATH:ko05418]
